Lower,20127,Neuroticism score
Lower,30110,Platelet distribution width
Lower,30250,Reticulocyte count
Lower,30710,C-reactive protein
Lower,30830,SHBG
Lower,30870,Triglycerides
Lower,20015,Sitting height
Lower,30090,Platelet crit
Lower,30020,Haemoglobin conc.
Lower,30190,Monocyte %
Lower,30040,Mean corpuscular vol.
Upper,20127,Neuroticism score
Upper,30890,Vitamin D
Upper,30070,RBC dist. width
Upper,20015,Sitting height
Upper,30040,Mean corpuscular vol.
Upper,30750,HbA1c
Upper,1737,Childhood sunburn occasions
Upper,2139,Age first had sexual intercourse
Upper,845,Age completed FT education
Upper,30090,Platelet crit
Upper,1070,Time spent watching TV
Upper,23120,Arm fat mass
